Code Prefix,Code,Category,Sex,Age,2006,2011,2016
T01,T01,Age & Sex,Males,All ages,13725,16307,17429
T01,T01,Age & Sex,Females,All ages,14229,16127,17562
T01,T01,Age & Sex,Persons,All ages,27959,32433,34990
T01,T01,Age & Sex,Males,0,165,192,226
T01,T01,Age & Sex,Females,0,173,221,234
T01,T01,Age & Sex,Persons,0,335,410,462
T01,T01,Age & Sex,Males,1,160,200,220
T01,T01,Age & Sex,Females,1,158,192,207
T01,T01,Age & Sex,Persons,1,318,388,431
T01,T01,Age & Sex,Males,2,146,179,200
T01,T01,Age & Sex,Females,2,130,177,237
T01,T01,Age & Sex,Males,3,130,175,174
T01,T01,Age & Sex,Persons,2,275,359,431
T01,T01,Age & Sex,Females,3,132,163,172
T01,T01,Age & Sex,Persons,3,263,336,347
T01,T01,Age & Sex,Females,27,263,401,449
T01,T01,Age & Sex,Males,4,122,174,171
T01,T01,Age & Sex,Females,4,111,173,188
T01,T01,Age & Sex,Males,14,111,123,99
T01,T01,Age & Sex,Persons,4,233,343,359
T01,T01,Age & Sex,Males,5,126,146,140
T01,T01,Age & Sex,Females,5,95,165,182
T01,T01,Age & Sex,Females,11,95,107,146
T01,T01,Age & Sex,Persons,5,227,309,323
T01,T01,Age & Sex,Males,39,227,292,251
T01,T01,Age & Sex,Males,6,104,147,160
T01,T01,Age & Sex,Females,6,107,151,153
T01,T01,Age & Sex,Persons,6,213,297,311
T01,T01,Age & Sex,Persons,14,213,230,223
T01,T01,Age & Sex,Males,7,117,128,157
T01,T01,Age & Sex,Females,7,120,118,146
T01,T01,Age & Sex,Males,11,120,91,125
T01,T01,Age & Sex,Males,16,120,129,113
T01,T01,Age & Sex,Persons,7,241,251,304
T01,T01,Age & Sex,Males,8,105,112,137
T01,T01,Age & Sex,Females,8,88,129,138
T01,T01,Age & Sex,Persons,8,188,246,276
T01,T01,Age & Sex,Males,9,115,121,177
T01,T01,Age & Sex,Females,9,112,107,136
T01,T01,Age & Sex,Persons,9,219,225,308
T01,T01,Age & Sex,Persons,11,219,202,270
T01,T01,Age & Sex,Males,10,124,118,126
T01,T01,Age & Sex,Females,10,109,109,133
T01,T01,Age & Sex,Persons,10,236,228,259
T01,T01,Age & Sex,Females,36,236,265,273
T01,T01,Age & Sex,Males,12,116,123,115
T01,T01,Age & Sex,Females,12,92,116,106
T01,T01,Age & Sex,Persons,12,208,235,218
T01,T01,Age & Sex,Males,13,119,108,106
T01,T01,Age & Sex,Females,13,96,102,100
T01,T01,Age & Sex,Females,15,96,113,109
T01,T01,Age & Sex,Persons,13,209,209,210
T01,T01,Age & Sex,Females,14,102,110,123
T01,T01,Age & Sex,Males,15,97,146,117
T01,T01,Age & Sex,Persons,15,190,255,223
T01,T01,Age & Sex,Females,16,81,116,104
T01,T01,Age & Sex,Persons,16,201,252,222
T01,T01,Age & Sex,Males,17,159,149,127
T01,T01,Age & Sex,Females,17,134,115,133
T01,T01,Age & Sex,Persons,17,295,259,265
T01,T01,Age & Sex,Males,18,168,204,184
T01,T01,Age & Sex,Females,18,192,190,208
T01,T01,Age & Sex,Persons,18,355,389,396
T01,T01,Age & Sex,Persons,41,355,463,432
T01,T01,Age & Sex,Males,19,225,247,259
T01,T01,Age & Sex,Females,19,257,240,253
T01,T01,Age & Sex,Persons,19,481,482,509
T01,T01,Age & Sex,Males,20,273,268,309
T01,T01,Age & Sex,Females,20,316,314,304
T01,T01,Age & Sex,Persons,20,590,583,610
T01,T01,Age & Sex,Males,21,294,347,311
T01,T01,Age & Sex,Females,21,325,330,294
T01,T01,Age & Sex,Persons,21,620,675,603
T01,T01,Age & Sex,Males,22,323,365,385
T01,T01,Age & Sex,Females,31,323,315,405
T01,T01,Age & Sex,Females,22,370,365,279
T01,T01,Age & Sex,Persons,22,692,729,667
T01,T01,Age & Sex,Males,23,314,374,346
T01,T01,Age & Sex,Females,23,297,324,322
T01,T01,Age & Sex,Males,28,297,458,444
T01,T01,Age & Sex,Persons,23,612,700,666
T01,T01,Age & Sex,Males,24,303,418,359
T01,T01,Age & Sex,Females,24,281,368,363
T01,T01,Age & Sex,Persons,24,582,786,724
T01,T01,Age & Sex,Males,25,282,405,362
T01,T01,Age & Sex,Males,29,282,368,402
T01,T01,Age & Sex,Females,25,311,360,380
T01,T01,Age & Sex,Persons,25,597,769,746
T01,T01,Age & Sex,Males,26,262,442,415
T01,T01,Age & Sex,Females,32,262,283,387
T01,T01,Age & Sex,Males,35,262,317,346
T01,T01,Age & Sex,Females,26,260,380,415
T01,T01,Age & Sex,Persons,26,522,818,826
T01,T01,Age & Sex,Males,27,278,417,448
T01,T01,Age & Sex,Persons,27,540,819,899
T01,T01,Age & Sex,Females,28,274,369,415
T01,T01,Age & Sex,Persons,28,572,831,863
T01,T01,Age & Sex,Females,29,300,362,420
T01,T01,Age & Sex,Persons,29,588,731,826
T01,T01,Age & Sex,Males,30,286,389,458
T01,T01,Age & Sex,Females,30,289,378,459
T01,T01,Age & Sex,Persons,30,580,766,917
T01,T01,Age & Sex,Males,31,285,341,421
T01,T01,Age & Sex,Persons,31,615,656,820
T01,T01,Age & Sex,Males,32,276,326,416
T01,T01,Age & Sex,Persons,32,545,602,801
T01,T01,Age & Sex,Males,33,247,338,392
T01,T01,Age & Sex,Females,33,255,333,357
T01,T01,Age & Sex,Persons,33,504,671,749
T01,T01,Age & Sex,Males,34,279,308,391
T01,T01,Age & Sex,Females,34,245,305,351
T01,T01,Age & Sex,Persons,34,528,616,740
T01,T01,Age & Sex,Females,35,238,261,339
T01,T01,Age & Sex,Persons,35,501,579,684
T01,T01,Age & Sex,Males,36,230,272,334
T01,T01,Age & Sex,Persons,36,468,542,605
T01,T01,Age & Sex,Males,37,222,293,282
T01,T01,Age & Sex,Females,37,197,266,278
T01,T01,Age & Sex,Persons,37,424,561,558
T01,T01,Age & Sex,Males,38,224,243,328
T01,T01,Age & Sex,Females,38,180,246,249
T01,T01,Age & Sex,Persons,38,403,490,580
T01,T01,Age & Sex,Females,39,206,240,250
T01,T01,Age & Sex,Males,42,206,210,227
T01,T01,Age & Sex,Persons,39,436,528,502
T01,T01,Age & Sex,Males,40,199,274,268
T01,T01,Age & Sex,Females,40,176,219,232
T01,T01,Age & Sex,Females,42,176,202,227
T01,T01,Age & Sex,Persons,40,373,490,493
T01,T01,Age & Sex,Males,41,181,231,218
T01,T01,Age & Sex,Females,41,177,234,217
T01,T01,Age & Sex,Persons,42,378,410,455
T02,T02-1,Marital Status,Males,15 - 19,761,871,803
T02,T02-1,Marital Status,Females,15 - 19,751,752,801
T02,T02-1,Marital Status,Persons,15 - 19,1507,1622,1606
T02,T02-2,Marital Status,Males,15 - 19,0,0,0
T02,T02-2,Marital Status,Females,15 - 19,0,0,0
T02,T02-2,Marital Status,Persons,15 - 19,0,0,0
T02,T02-2,Marital Status,Males,20 - 24,0,0,0
T02,T02-2,Marital Status,Females,20 - 24,0,0,0
T02,T02-2,Marital Status,Persons,20 - 24,0,0,0
T02,T02-2,Marital Status,Males,25 - 29,0,0,0
T02,T02-2,Marital Status,Males,30 - 34,0,0,0
