"FBLF_2016","Family Blending","STATE","State","REGIONTYPE","Geography Level","LGA_2016","Region","TIME","Census year","Value","Flag Codes","Flags"
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2006","2006",5005,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2011","2011",4995,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10050","Albury (C)","2016","2016",5160,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","2006","2006",2841,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","2011","2011",2763,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","2016","2016",2680,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","2006","2006",3999,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","2011","2011",3979,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","2016","2016",4083,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","2006","2006",273,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","2011","2011",259,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10300","Balranald (A)","2016","2016",236,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","2006","2006",3973,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","2011","2011",4129,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10470","Bathurst Regional (A)","2016","2016",4308,,
"TOT","Total Families","1","New South Wales","LGA2016","Local Government Areas (2016)","10550","Bega Valley (A)","2006","2006",3285,,
